hw(rs1),HW
0,0
12,129
14,133
2,42
16,121
14,124
13,108
13,149
16,140
16,122
12,134
17,144
19,136
18,130
16,131
15,130
2,38
16,145
16,123
15,118
10,121
16,112
13,125
7,98
14,128
15,123
17,126
14,138
9,112
7,90
11,115
17,106
10,122
6,90
9,111
15,140
2,37
17,117
16,132
4,79
0,3
9,103
8,96
11,114
17,147
17,144
13,130
19,121
12,130
16,123
16,130
3,56
2,39
17,115
1,21
14,133
15,129
13,112
2,35
14,134
15,125
17,122
11,131
17,134
15,129
18,123
0,3
14,137
7,95
3,40
15,130
15,144
14,120
7,89
6,92
13,125
2,34
17,146
16,128
16,104
15,130
8,121
8,101
15,131
15,131
18,113
15,123
7,95
5,72
17,122
0,3
16,111
10,101
11,105
12,127
19,120
7,97
7,85
17,138
12,118
17,141
16,126
1,21
15,127
0,1
12,113
18,132
17,141
9,131
14,135
2,40
10,122
9,111
5,72
5,74
18,132
12,120
12,124
16,123
0,1
14,133
12,105
15,125
2,37
2,33
18,131
14,112
13,143
14,117
13,142
9,111
14,112
15,126
6,96
4,68
16,129
2,34
12,117
8,112
2,43
16,143
9,121
16,129
14,129
8,107
12,119
0,3
0,3
12,119
13,131
15,139
7,88
6,84
5,87
3,57
2,43
3,52
17,134
0,3
19,108
7,93
18,118
1,22
15,148
17,135
10,111
9,114
11,93
18,126
8,96
12,116
2,43
14,117
16,133
4,76
19,150
2,36
3,58
0,1
14,126
0,3
16,134
15,143
16,142
4,71
14,111
16,137
14,127
19,121
4,69
16,133
13,134
18,137
0,3
11,134
14,110
1,23
14,137
15,130
6,93
14,128
12,129
10,105
11,127
16,131
5,80
13,128
16,129
14,127
15,122
3,51
17,119
2,35
16,122
16,142
5,79
10,116
15,131
15,112
3,61
15,123
8,102
11,104
2,39
15,117
16,130
15,122
11,108
9,121
17,120
15,141
10,119
10,112
13,121
14,109
15,124
13,119
4,63
2,43
5,80
10,103
15,136
5,78
16,124
19,128
13,149
16,127
8,100
11,126
4,56
17,120
8,129
17,141
17,117
14,127
13,121
14,134
13,120
14,125
14,128
14,112
13,115
14,123
15,130
15,144
4,75
18,123
15,125
14,141
1,23
9,105
10,130
1,21
1,21
9,115
5,72
12,127
19,141
17,121
14,117
16,128
19,128
15,129
13,125
1,21
8,113
15,124
13,121
17,147
15,122
16,113
1,20
11,133
4,64
0,3
13,123
14,108
9,115
15,124
14,114
17,143
6,89
4,66
14,116
13,132
3,60
4,64
16,120
7,94
8,95
17,137
0,3
18,121
14,107
11,108
11,128
13,128
15,133
6,95
18,123
16,131
13,130
2,37
15,121
15,126
15,135
16,120
10,114
9,114
12,130
12,112
20,138
7,102
16,139
15,141
16,120
17,135
0,3
6,90
14,118
15,122
15,126
14,114
10,130
6,94
18,129
9,107
9,100
8,106
16,128
16,132
3,58
15,132
7,96
15,135
13,132
8,103
5,90
12,122
13,122
3,56
4,78
0,1
19,131
15,141
3,50
15,160
14,130
17,105
11,121
5,76
2,33
11,128
2,38
12,114
13,116
14,111
15,118
16,120
12,122
18,140
17,128
4,65
15,119
16,139
7,111
13,130
6,93
4,78
8,118
15,124
3,53
7,93
16,135
7,91
15,133
15,124
14,141
15,128
13,123
8,113
15,145
16,129
16,130
15,130
10,123
7,97
9,104
3,53
8,114
16,116
14,125
4,65
17,136
11,121
7,91
3,51
9,106
7,94
18,125
3,53
10,136
14,129
18,130
16,136
9,98
3,49
16,116
13,101
14,131
12,116
12,137
19,144
4,70
17,120
8,90
12,118
7,89
9,115
12,120
17,135
14,130
1,23
16,120
16,144
11,127
8,108
5,60
14,109
11,132
16,132
2,39
2,40
8,90
5,73
15,131
4,78
5,69
0,3
10,121
6,96
13,122
14,132
4,63
12,123
14,115
6,113
14,114
9,112
10,123
15,131
8,108
13,118
12,108
10,102
11,112
3,54
16,130
9,117
15,134
15,114
8,111
6,91
10,113
16,129
13,124
4,72
5,78
14,136
9,114
13,132
4,68
15,126
9,112
9,93
2,43
15,132
17,132
14,123
17,121
3,49
12,135
7,103
9,110
10,110
13,128
0,1
8,88
0,1
9,99
14,119
3,53
2,43
8,99
0,3
13,129
16,112
17,126
10,116
6,91
14,129
16,133
20,126
18,127
0,1
15,124
15,131
1,19
11,128
5,82
13,131
1,21
14,118
10,127
6,92
10,127
14,140
7,103
6,93
12,118
6,89
18,117
16,132
15,133
17,129
12,119
1,23
8,98
15,131
2,38
10,123
16,125
5,81
5,81
15,127
8,119
17,116
11,123
13,131
13,119
16,128
14,121
8,91
16,117
5,71
13,111
16,122
16,128
15,129
10,119
10,124
16,140
15,137
16,126
18,130
15,128
12,149
1,23
3,57
15,120
16,133
0,3
12,114
15,135
13,143
8,106
8,105
17,121
15,140
17,126
19,104
15,128
5,78
14,121
16,146
4,67
15,123
18,141
9,105
4,71
7,105
8,108
16,140
3,55
10,111
16,143
0,1
9,128
8,116
16,148
10,123
18,139
0,1
15,129
19,144
6,95
2,41
12,126
12,115
8,90
12,115
12,124
0,1
15,117
7,111
0,3
0,1
13,141
13,123
11,118
17,121
16,127
14,129
17,117
6,95
18,138
7,95
6,87
13,132
8,113
13,120
9,112
15,140
13,124
17,122
10,115
11,125
1,21
18,128
9,107
14,133
17,117
15,122
14,123
16,122
14,116
0,3
3,50
14,127
7,100
14,117
2,40
15,130
7,111
1,20
5,87
11,125
17,140
12,123
14,115
12,129
15,122
18,127
8,102
1,22
1,19
16,136
15,129
1,23
17,138
12,128
16,138
15,139
16,124
11,120
9,119
10,117
18,136
15,118
16,133
16,138
8,116
3,56
15,122
0,3
16,142
12,120
4,69
12,132
9,129
16,132
9,119
3,57
0,3
13,121
17,127
0,3
11,104
16,128
3,57
16,121
9,98
17,126
13,106
0,1
14,124
14,136
16,113
11,102
17,135
12,112
2,35
17,130
9,123
15,130
16,131
14,149
7,84
11,125
7,90
15,119
12,137
14,119
4,67
13,125
15,127
6,89
1,20
14,135
2,34
10,101
3,48
16,112
13,131
15,110
9,101
13,118
1,21
12,118
6,72
12,116
15,142
18,130
8,104
5,78
5,68
4,62
12,116
16,122
17,130
10,98
13,123
14,134
8,105
15,136
6,88
15,119
6,87
18,134
3,55
3,58
14,117
8,99
15,138
16,132
9,115
2,39
6,80
6,91
14,116
17,135
9,106
14,138
5,73
15,133
1,20
12,131
14,138
17,126
15,138
14,119
16,120
13,125
19,123
2,34
15,115
7,105
14,140
1,23
5,86
12,126
2,43
16,122
3,58
13,125
12,116
14,126
6,91
4,69
17,131
13,132
15,128
13,109
8,106
19,133
13,119
14,127
9,112
12,132
0,1
