hw(rs1),HW
7,102
16,125
17,131
8,110
0,3
10,110
17,123
3,52
9,114
14,109
16,136
11,127
12,117
11,132
14,117
3,52
17,117
10,104
2,41
12,124
11,124
7,99
16,137
17,146
16,120
13,130
7,109
17,141
9,108
4,74
16,133
3,60
3,51
11,115
2,41
16,132
1,23
17,120
14,126
16,138
9,117
2,38
1,21
14,126
14,142
6,85
1,23
15,137
15,128
1,23
0,1
12,124
15,134
4,71
11,128
6,81
13,131
16,148
4,60
1,20
14,137
12,134
12,143
17,124
3,51
1,23
13,132
11,112
10,122
16,117
0,3
17,131
13,130
16,133
16,126
6,97
16,135
13,114
0,3
0,3
16,118
16,116
16,140
10,123
18,147
1,20
16,136
13,110
16,123
8,104
16,124
4,68
7,106
12,118
7,104
14,118
19,131
12,136
13,137
10,133
6,83
7,100
6,100
15,120
7,89
13,134
2,43
16,124
13,132
0,3
4,64
3,60
16,133
2,37
18,144
2,36
0,3
6,92
3,49
7,99
11,109
16,135
6,100
5,72
17,149
15,139
12,131
5,85
18,132
11,139
9,104
11,126
15,127
11,124
16,107
8,115
11,125
5,80
16,131
11,123
12,144
0,3
10,111
18,128
14,121
3,52
5,76
16,142
14,111
16,123
2,37
17,132
5,74
15,116
13,121
1,23
4,62
16,149
1,21
15,122
13,110
12,120
8,112
11,136
16,119
1,23
17,141
15,134
4,77
7,98
10,113
1,23
14,137
11,112
1,20
9,117
5,82
8,89
5,82
10,139
14,136
3,58
14,142
12,120
12,125
11,143
12,137
14,120
10,139
16,138
13,124
4,68
1,21
15,125
0,3
12,109
12,120
12,129
2,43
10,120
9,119
8,95
13,109
9,125
10,121
4,80
10,118
11,107
0,3
7,99
14,134
14,125
16,135
2,38
6,107
5,82
7,100
2,35
11,132
0,3
14,141
15,135
12,111
3,50
15,135
12,125
6,109
11,142
15,127
11,126
16,130
4,62
7,100
16,132
11,108
0,3
6,93
15,129
9,118
13,130
15,116
12,127
10,100
13,113
15,134
14,139
15,118
6,95
14,121
16,134
11,124
17,129
5,85
16,117
11,120
13,128
6,79
11,128
19,133
15,143
16,127
13,122
9,112
13,132
10,117
10,124
13,135
17,120
6,84
4,74
2,36
9,113
13,109
8,112
18,137
17,134
2,40
11,139
15,136
15,122
12,111
12,121
17,122
8,106
9,126
14,121
15,113
14,127
12,127
14,134
17,145
19,136
8,85
18,135
13,132
3,56
13,118
0,1
0,1
1,20
16,124
5,83
10,128
8,94
3,59
12,128
0,3
2,36
9,105
8,104
17,121
18,115
7,83
0,1
16,112
8,99
14,122
10,116
6,87
16,144
18,121
8,106
6,98
9,108
14,122
16,121
0,3
14,123
14,128
16,132
6,81
12,118
14,140
11,112
12,124
10,103
7,111
13,143
10,127
16,129
16,130
14,138
18,143
13,148
9,112
1,23
13,108
15,147
17,135
15,119
6,89
11,124
1,23
18,123
4,64
6,79
16,129
6,92
15,137
17,141
14,114
17,143
9,118
3,61
16,123
1,23
7,101
4,79
16,143
8,109
17,124
14,131
20,123
16,138
11,138
5,78
18,141
4,59
15,132
5,74
14,124
17,127
8,105
1,21
0,3
14,125
8,111
0,3
3,57
12,130
14,135
9,102
8,89
10,105
11,116
13,115
8,98
15,115
16,117
18,129
13,121
17,119
16,134
15,118
14,130
17,136
7,94
15,120
16,122
13,136
14,129
5,79
8,105
12,129
16,142
13,121
15,125
18,110
12,142
17,115
13,108
18,123
16,137
7,109
13,120
10,122
17,120
17,138
9,117
5,76
9,107
6,85
17,131
17,124
4,72
12,109
1,21
14,124
17,128
11,136
16,129
15,113
12,114
1,23
14,118
4,62
14,135
9,121
4,70
9,110
18,129
17,143
15,121
13,135
10,104
13,136
0,3
16,135
0,3
4,72
14,134
12,127
17,115
13,105
8,97
7,101
17,137
10,116
1,21
14,126
5,80
15,134
13,133
11,130
11,112
16,133
14,135
11,126
1,23
4,67
12,130
15,140
11,126
17,126
10,118
8,123
0,1
12,128
18,142
17,128
16,130
18,148
17,116
10,127
10,99
6,93
16,120
16,130
7,78
16,129
16,127
1,17
11,128
12,136
12,116
15,132
13,126
2,43
3,60
2,35
13,137
17,127
18,136
19,131
16,137
13,145
8,102
11,116
6,95
10,113
4,60
12,127
16,128
13,128
16,134
3,57
5,78
15,124
6,84
6,82
12,122
11,125
4,67
7,89
8,104
10,116
12,146
14,129
16,114
16,126
8,105
10,114
16,144
8,111
11,119
3,56
8,111
14,127
8,95
16,139
10,139
11,125
4,63
16,124
5,79
0,1
17,141
9,121
3,53
13,131
10,129
14,133
7,106
6,83
16,122
14,122
13,120
19,135
5,82
14,143
16,137
17,132
15,143
12,129
11,115
14,136
17,129
8,97
11,118
15,134
10,101
14,131
8,100
2,35
13,136
11,125
9,109
0,3
8,107
16,117
6,85
12,127
12,122
20,137
16,119
11,126
14,142
15,123
9,108
6,95
8,114
17,144
15,126
15,129
9,121
16,125
17,129
1,22
10,116
5,67
12,116
6,80
4,70
10,118
12,137
14,133
2,37
8,119
17,138
11,106
17,117
13,128
15,135
15,141
10,125
6,94
15,130
3,48
8,99
14,114
18,121
3,61
11,108
1,23
16,125
13,127
17,130
13,128
4,74
16,126
18,132
14,132
6,96
15,120
6,89
17,130
13,130
5,78
13,130
9,109
15,122
5,69
17,120
15,127
9,106
11,137
15,134
18,131
4,69
9,124
8,124
14,120
7,94
5,93
17,126
10,118
5,87
14,140
5,66
16,128
10,106
15,146
4,65
15,121
17,131
12,113
16,118
16,130
9,128
11,108
7,97
3,49
2,36
17,113
5,84
8,108
16,130
5,78
14,130
18,126
18,125
5,81
8,101
5,79
1,22
10,125
19,122
10,127
6,88
15,128
13,110
17,126
11,119
11,122
18,128
15,129
3,52
15,114
10,90
12,133
0,1
16,142
12,128
4,65
17,144
1,23
0,3
17,123
14,127
17,116
16,135
15,131
13,152
15,133
12,123
10,113
15,130
13,128
13,113
9,100
5,89
7,93
6,90
9,115
0,3
14,139
15,124
15,134
18,116
11,125
15,125
17,118
10,101
0,3
3,51
17,131
14,119
16,136
9,111
3,59
14,144
16,116
15,118
13,136
13,138
2,36
11,117
12,115
12,111
10,103
8,109
9,92
13,145
14,122
12,132
8,94
9,107
16,134
4,63
12,112
8,102
18,118
7,90
14,128
2,41
11,132
0,3
10,116
0,3
11,129
18,119
14,118
6,79
7,96
10,130
11,113
14,135
12,129
15,134
11,124
7,113
3,58
16,144
16,120
10,111
1,23
6,89
17,135
18,136
1,23
17,115
10,104
1,22
15,122
17,135
9,117
7,113
18,112
3,53
11,125
18,130
5,86
13,125
17,137
2,40
14,127
11,122
1,17
13,127
14,137
10,119
17,130
8,99
13,112
15,135
7,94
14,127
14,144
16,148
11,126
14,122
18,135
13,131
17,130
5,74
2,41
12,116
2,39
7,106
15,138
3,59
13,135
14,121
15,127
15,135
12,128
4,65
17,123
10,122
14,146
5,75
16,141
16,121
12,127
16,134
9,112
6,80
18,126
3,55
15,127
19,124
14,144
18,131
14,125
13,133
15,129
12,121
15,131
12,120
12,117
4,71
12,108
1,23
15,108
16,129
14,108
3,56
19,128
14,104
16,131
12,115
2,41
7,84
4,71
0,3
13,133
6,83
5,84
13,134
13,120
19,123
8,102
19,128
17,127
7,102
7,90
11,115
17,122
9,101
1,23
0,1
16,117
6,92
14,124
13,130
7,85
17,130
16,125
9,107
10,116
11,114
16,140
14,134
5,79
7,98
9,102
15,132
17,130
2,40
2,41
3,58
15,135
16,120
3,57
13,129
12,116
16,135
16,112
8,115
15,115
7,97
16,127
9,114
18,127
0,3
1,21
12,123
13,138
0,3
17,126
17,125
15,116
10,122
13,141
14,124
5,73
13,114
4,75
18,121
17,125
7,97
17,131
8,106
15,135
9,134
15,132
4,54
9,117
17,118
8,113
10,127
13,144
15,147
13,126
4,65
16,132
11,114
3,52
10,110
13,133
12,126
8,119
14,130
10,100
12,132
11,115
3,51
5,69
12,116
9,126
3,50
2,36
3,59
12,108
10,126
5,75
14,137
11,121
6,83
14,140
15,116
15,112
2,39
9,106
15,109
8,97
14,124
4,72
10,123
6,74
13,128
9,114
15,125
4,74
1,23
11,113
16,111
10,120
13,133
4,77
10,112
14,132
10,117
2,39
14,129
12,119
8,96
20,146
17,124
12,106
17,130
15,134
11,126
13,126
13,126
16,135
7,96
5,82
1,20
10,115
5,86
13,130
4,79
14,121
7,102
16,136
15,128
5,72
1,23
12,140
7,91
14,118
5,76
2,41
10,112
4,55
19,123
14,118
3,52
11,138
16,130
13,139
14,139
11,132
1,23
2,43
14,133
13,98
16,138
20,120
20,107
14,125
12,118
17,130
14,130
17,142
5,78
9,112
15,130
16,114
11,121
15,136
3,47
1,23
13,117
14,144
11,140
12,116
7,95
15,130
3,61
13,126
12,112
13,125
14,120
7,91
9,108
6,88
16,136
18,133
16,131
18,114
5,74
14,121
3,55
16,124
5,76
15,144
13,118
14,136
5,77
11,119
2,43
11,104
6,82
14,134
15,128
12,119
6,90
17,129
3,51
16,121
7,86
12,137
1,23
6,88
13,121
15,138
15,131
15,130
9,129
4,72
7,80
0,1
12,111
17,124
7,103
5,82
11,128
19,122
15,126
2,43
12,119
20,128
4,59
12,119
0,3
15,119
12,137
8,105
11,106
6,93
15,133
18,121
15,119
17,127
19,138
12,113
2,34
3,50
7,107
6,95
12,125
15,141
2,36
18,132
18,136
8,105
16,143
15,124
2,41
3,53
15,142
8,110
9,108
14,140
10,118
12,105
0,3
19,141
1,20
13,127
16,129
14,114
10,115
18,117
5,85
12,141
11,131
10,107
5,86
8,106
14,117
18,117
14,121
11,122
15,134
9,111
5,71
17,122
11,132
16,136
13,115
11,133
16,128
13,135
0,3
18,131
11,110
0,3
15,153
6,82
0,3
6,102
8,90
0,3
9,108
3,59
17,129
7,91
10,123
13,125
12,133
5,90
15,138
17,132
13,132
7,101
6,89
16,145
16,135
2,40
16,133
5,69
8,99
18,134
11,126
13,124
12,127
7,98
1,23
15,129
6,87
4,66
4,62
3,52
15,118
14,117
17,129
11,129
16,125
13,125
10,107
4,65
16,146
8,104
6,78
9,117
12,128
12,122
17,129
13,113
14,121
11,138
16,127
16,134
2,43
4,74
12,113
14,123
6,74
10,111
12,129
9,116
18,126
19,133
14,139
15,134
5,78
11,124
13,118
0,3
10,110
17,158
0,3
13,118
17,117
16,118
9,116
4,65
16,134
5,73
14,131
17,121
12,111
6,83
12,122
10,121
15,132
1,23
10,108
16,118
18,119
7,92
7,82
9,117
14,128
16,126
16,128
8,115
15,118
2,39
5,79
10,101
13,128
14,126
14,139
8,97
16,111
3,57
14,146
11,112
1,23
5,71
18,148
14,143
16,130
20,125
14,133
14,118
0,3
13,137
18,122
10,120
10,106
2,38
12,111
14,141
9,115
15,128
10,115
8,103
5,90
6,94
3,48
0,3
11,121
16,153
13,121
2,41
12,114
13,130
4,76
0,3
1,23
16,117
1,20
1,20
15,127
8,122
0,3
6,93
16,126
9,111
4,69
17,114
15,132
16,136
11,138
17,144
16,142
15,126
4,58
5,80
16,116
15,131
2,43
18,131
8,98
11,125
7,89
12,126
15,138
18,145
9,109
3,52
13,120
1,21
10,108
5,76
10,109
0,3
15,117
2,36
18,131
2,32
2,38
8,112
7,95
11,114
10,94
15,121
17,135
15,132
17,131
7,85
4,69
16,119
15,118
14,115
18,129
14,120
13,124
1,20
3,60
16,117
12,130
10,132
13,124
9,118
12,123
10,124
2,39
15,143
13,127
19,135
17,109
15,133
17,126
5,78
17,149
7,94
16,121
7,97
2,40
16,146
17,139
14,140
17,138
15,135
15,142
2,34
15,116
14,111
16,137
13,128
17,129
11,124
14,127
3,59
4,63
10,131
14,120
12,121
6,81
4,67
14,136
8,119
15,137
10,122
12,125
17,131
6,95
12,117
14,108
14,116
15,127
5,78
12,125
15,146
15,133
14,129
16,139
14,141
5,80
6,87
7,101
16,116
15,131
12,130
15,139
14,118
14,140
13,117
13,114
7,111
19,108
9,110
8,93
12,123
15,133
14,131
14,130
12,122
9,118
8,89
7,91
9,115
2,38
7,91
20,128
6,89
11,112
13,122
16,127
16,127
16,115
14,133
3,50
14,122
16,129
12,143
10,103
16,131
15,131
15,138
16,120
2,35
16,138
15,139
16,133
18,106
10,115
16,114
5,84
14,125
15,134
5,94
4,67
11,106
1,20
11,122
6,95
10,114
0,3
5,74
4,69
16,139
12,127
9,114
3,57
12,113
18,126
13,133
0,3
16,133
14,129
17,118
5,77
19,132
4,73
9,122
16,136
9,111
17,126
15,115
9,87
15,107
12,123
1,23
17,133
12,113
17,135
18,138
15,130
17,129
16,139
16,122
12,132
17,135
13,112
3,50
12,100
15,147
3,48
4,75
9,125
13,114
5,86
16,119
14,134
10,93
6,100
17,133
12,137
15,115
0,1
9,115
2,40
1,23
1,23
13,143
16,140
14,142
0,1
6,101
16,130
18,120
13,141
8,119
5,87
7,110
5,83
6,100
16,135
16,128
15,152
7,103
9,116
17,130
17,149
10,123
9,116
20,97
6,96
13,129
11,119
19,114
12,127
15,120
14,145
3,57
0,1
7,113
6,95
12,118
12,142
7,88
19,136
14,124
15,133
7,84
7,108
13,139
19,143
13,151
19,132
9,131
1,23
16,131
10,105
5,78
14,141
5,77
16,139
2,41
13,154
15,117
11,114
12,99
2,41
7,92
7,94
10,112
14,137
14,131
15,137
4,73
0,1
15,129
0,3
11,122
6,92
17,114
13,124
18,119
12,129
6,97
3,54
13,123
5,84
6,92
9,107
11,114
1,21
14,139
10,105
8,127
10,107
11,115
5,85
8,100
14,127
2,35
15,129
15,127
16,122
16,130
10,116
15,134
3,59
0,1
8,93
11,128
11,121
14,125
3,54
0,3
7,103
9,125
17,155
9,119
16,119
3,51
14,126
11,122
15,146
13,119
11,120
18,136
14,126
14,135
6,95
16,126
9,92
7,97
3,57
16,130
12,133
15,110
8,108
14,131
2,37
16,126
3,55
15,133
0,3
0,3
12,132
16,111
5,83
17,123
9,112
17,120
14,124
5,79
13,114
13,122
12,127
13,122
4,59
6,82
11,113
15,127
11,123
9,114
15,130
8,110
9,120
11,132
15,134
6,91
5,81
11,118
11,131
11,131
19,126
14,135
14,128
10,99
12,133
10,140
1,21
7,103
10,110
1,17
3,51
16,125
13,117
17,135
13,123
14,123
17,122
15,137
8,116
20,130
12,124
15,135
14,123
15,130
9,122
2,37
7,106
17,120
14,134
16,120
16,123
15,129
6,87
16,116
5,79
3,54
16,110
17,125
13,132
8,107
16,125
17,139
14,125
14,126
16,113
6,78
11,123
15,114
1,20
14,114
2,32
16,129
10,132
2,41
12,121
18,124
10,125
17,134
15,128
15,127
15,132
14,135
13,118
2,33
0,3
4,74
13,129
5,86
13,127
0,3
16,130
8,86
13,121
11,134
16,127
16,121
9,102
12,127
14,137
16,128
12,139
16,137
11,122
17,125
13,125
2,35
9,117
10,119
6,101
9,104
15,142
14,131
14,136
7,102
10,120
9,107
16,119
16,120
3,51
9,122
11,118
15,146
17,128
9,115
12,128
16,131
10,114
11,121
17,114
3,54
14,135
13,118
4,66
18,132
16,137
8,92
14,125
13,107
17,130
11,131
11,129
11,132
4,67
4,58
15,131
15,129
13,131
17,138
8,92
2,38
11,137
19,133
1,21
9,105
3,56
11,131
12,128
12,126
5,84
2,41
0,3
17,122
15,130
19,121
16,145
5,67
14,138
5,71
14,115
16,117
17,134
11,131
15,136
18,139
3,46
17,124
3,48
14,127
16,119
3,61
17,136
16,117
0,3
4,61
19,145
10,105
19,126
16,138
17,134
12,119
18,122
17,135
4,58
8,100
15,117
8,109
3,56
16,120
18,108
12,125
8,111
17,121
10,119
16,123
16,148
11,131
7,99
10,101
15,131
7,90
13,123
1,23
15,122
0,3
18,129
14,119
17,137
1,20
4,74
2,31
1,23
15,133
10,107
14,118
11,112
1,23
12,122
16,130
15,126
2,43
16,130
16,122
13,131
17,151
4,65
1,21
16,127
11,126
16,139
14,147
18,113
8,103
5,66
16,119
17,118
0,1
17,124
0,3
18,131
5,85
1,23
15,151
14,137
5,77
1,17
14,124
9,105
2,41
13,150
10,117
16,138
11,125
9,112
11,150
15,112
16,142
16,117
14,140
11,140
15,127
14,144
2,41
8,112
17,120
12,123
11,126
10,110
16,116
13,127
13,129
13,119
7,95
1,21
10,100
6,85
17,122
17,131
13,113
13,131
5,71
7,99
12,105
7,95
2,35
0,3
13,132
17,126
2,41
4,74
11,105
15,116
16,122
5,62
0,1
15,119
15,130
7,90
10,108
11,121
5,78
10,123
11,120
17,113
18,113
13,113
0,1
13,116
18,121
3,59
14,110
8,107
13,117
14,136
14,119
10,95
6,96
15,115
11,126
14,143
17,111
11,115
1,20
3,58
5,81
16,128
13,135
16,136
0,3
13,133
11,121
17,119
16,128
14,125
10,123
7,100
15,116
15,135
3,57
11,95
10,120
9,107
11,116
14,122
8,121
5,80
14,142
14,137
12,112
7,91
6,98
1,21
20,144
3,53
7,101
15,131
14,118
9,119
16,139
9,106
4,66
9,106
14,130
16,118
6,92
10,115
9,110
15,120
16,124
5,72
6,79
13,138
17,130
4,66
16,130
14,131
12,139
9,125
9,93
16,140
14,111
19,120
15,122
8,109
8,96
17,114
8,106
14,140
10,118
19,144
4,78
11,136
18,119
17,135
17,139
12,132
9,111
10,112
16,155
13,132
0,3
1,21
7,101
18,112
16,129
14,123
14,128
5,78
3,59
16,132
12,126
14,149
16,128
10,110
15,121
15,114
15,119
1,19
0,3
8,116
11,121
0,1
1,17
15,146
11,130
18,128
19,134
2,41
6,99
14,120
15,112
15,131
15,129
5,69
16,142
9,104
9,112
8,100
14,122
2,35
6,87
12,126
9,112
16,137
8,108
15,124
16,132
13,125
10,117
1,23
13,134
3,49
12,128
11,121
9,118
16,129
17,123
13,145
13,128
15,143
10,103
16,135
9,123
8,102
17,122
13,121
3,55
14,116
10,117
4,64
9,109
2,41
5,72
5,79
2,41
10,116
4,70
7,92
6,89
7,98
15,123
1,23
16,111
9,114
7,90
0,1
12,115
12,110
1,23
17,116
14,124
16,127
12,119
2,39
9,107
15,135
14,117
18,125
5,69
15,126
11,124
10,112
19,141
10,137
14,129
15,127
13,118
3,56
9,116
13,121
13,124
14,125
18,120
3,59
9,108
11,136
11,122
13,139
12,133
11,116
18,132
6,87
6,86
5,73
7,111
14,132
13,130
1,21
15,126
18,123
14,137
0,3
15,141
8,101
9,117
3,59
4,68
15,125
15,118
16,140
16,124
4,66
10,106
18,124
9,113
14,120
13,137
11,120
5,78
4,69
1,23
2,38
16,123
17,149
8,99
9,110
17,136
6,82
5,80
9,106
11,132
7,91
6,94
15,148
14,123
12,125
3,51
16,137
16,133
11,124
8,93
15,131
11,122
2,39
3,44
17,123
13,126
13,126
12,107
2,43
14,136
12,127
2,34
5,80
3,52
7,109
6,75
4,72
17,136
18,139
17,119
13,126
0,3
12,121
17,113
16,125
11,129
6,83
15,114
14,136
6,99
10,108
0,1
15,128
11,124
10,117
5,86
8,107
10,115
18,133
12,126
16,126
14,116
1,23
16,123
18,111
14,125
13,130
16,129
0,3
16,131
16,116
9,108
6,94
7,91
10,118
16,119
3,60
15,134
15,133
16,126
4,75
1,21
5,83
16,111
17,125
7,87
8,110
13,134
16,128
3,50
14,112
12,118
6,92
19,132
8,103
12,141
12,121
15,138
6,89
16,131
15,123
7,101
8,102
12,108
13,117
1,23
17,123
12,104
10,96
15,149
16,117
17,118
3,53
1,20
16,124
18,129
17,123
16,123
15,131
14,125
17,113
12,131
17,136
2,40
14,133
14,111
10,112
3,55
12,133
14,125
13,129
14,121
18,112
12,105
11,112
15,138
3,61
11,122
14,127
14,122
13,127
5,70
13,112
3,52
17,116
4,72
4,63
17,116
15,114
20,106
15,135
16,128
4,63
18,128
5,68
5,74
12,114
5,85
14,148
0,3
5,81
8,108
11,122
14,136
8,103
13,127
11,133
3,57
2,38
17,144
16,146
6,92
15,146
14,134
17,144
3,53
11,106
15,143
13,137
14,121
0,3
9,116
14,118
20,124
12,145
16,109
14,131
6,83
8,118
13,108
14,113
6,84
8,87
10,121
10,112
12,138
6,76
6,100
15,128
20,129
15,125
18,124
14,122
3,56
18,133
16,103
12,120
1,23
16,119
6,97
14,150
16,135
14,131
2,33
17,145
16,126
14,135
6,92
4,62
12,129
2,32
12,122
15,128
13,123
3,43
16,138
14,135
0,3
11,121
15,125
13,122
6,87
0,3
15,124
8,110
1,20
18,140
10,95
15,128
9,93
16,126
8,97
10,123
13,125
16,133
1,21
5,81
8,108
17,133
13,107
2,43
13,118
8,90
8,112
0,1
6,76
14,120
9,127
17,146
17,125
16,130
8,106
1,20
16,125
6,80
5,66
16,117
12,116
13,124
21,110
10,122
9,116
5,80
8,110
10,123
12,124
6,95
11,130
16,142
5,92
10,115
15,138
18,136
13,120
6,89
13,135
15,136
18,135
7,104
4,72
11,122
7,104
8,106
12,125
1,23
16,118
12,113
20,127
15,123
9,100
13,130
3,50
6,84
6,78
22,134
11,116
17,131
13,119
17,136
14,133
5,76
15,117
9,114
14,117
14,128
15,140
12,117
0,1
3,59
8,112
15,116
12,123
14,132
10,122
8,92
16,135
10,127
18,132
2,34
0,1
16,130
13,131
19,122
14,144
18,116
2,38
13,127
16,135
11,120
6,76
3,55
15,107
16,132
12,128
17,135
14,133
0,3
17,123
15,125
0,3
12,154
4,60
17,134
6,81
14,131
9,104
0,1
17,129
5,73
8,122
8,110
13,125
17,128
14,122
9,114
17,132
17,118
17,129
15,130
6,80
7,84
15,133
14,123
13,130
13,130
8,85
13,123
10,97
4,63
15,151
9,110
18,141
10,119
6,90
12,119
4,69
8,103
1,20
