hw(rs1),HW
18,6927
11,6927
17,6927
18,6927
6,6927
16,6927
4,6927
0,6927
2,6927
2,6927
16,6927
0,6927
2,6927
14,6927
20,6927
5,6927
18,6927
19,6927
17,6927
18,6927
11,6927
5,6927
10,6927
5,6927
12,6927
8,6927
13,6927
11,6927
16,6927
18,6927
16,7372
9,6927
17,6927
14,6927
6,6927
16,6927
6,6927
5,6927
1,6927
16,6927
14,7408
6,6927
16,6927
6,6927
5,6927
9,6927
17,6927
12,6927
14,6927
13,6927
16,6927
1,6927
16,6927
1,6927
14,6927
17,6927
15,6927
15,6927
1,6927
13,6927
14,6927
7,6927
15,6927
12,6927
16,6927
8,6927
16,6927
13,6927
5,6927
13,7035
13,6927
12,6927
17,6927
7,6927
9,6927
12,6927
9,6927
2,6927
4,6927
16,6927
16,6927
13,6927
9,6927
12,6927
6,6927
6,6927
6,6927
13,6927
6,6927
13,6927
10,6927
15,6927
8,6927
18,6927
3,6927
8,7076
0,6927
19,6927
7,6927
14,6927
15,6927
5,6927
16,6927
15,6927
11,6927
12,6927
2,6927
3,6927
15,6927
8,6927
3,6927
1,6927
15,6927
18,6927
10,6927
15,7511
14,6927
0,6927
14,6927
16,6927
15,6927
6,6927
16,6927
14,6927
11,6927
17,6927
15,6927
9,6927
1,6927
11,6928
12,6927
5,6927
8,6927
5,6927
15,6927
13,6927
11,6927
12,6927
8,6927
20,6927
3,6927
13,6927
17,6927
9,6927
12,6927
15,6927
12,6927
14,6927
4,6927
11,7764
15,6927
17,6927
8,6927
7,6927
10,6927
14,6927
9,6927
12,6927
12,6927
7,6927
17,6927
14,6927
6,6927
8,6927
8,6927
15,6927
14,6927
15,7127
9,6927
16,6927
18,6927
0,6927
10,6927
16,6927
13,6927
14,6927
5,6927
16,6927
11,6927
7,6927
18,6927
19,6927
14,6927
11,6927
13,6927
11,6927
9,6927
0,6927
15,6927
0,6927
13,6927
16,6927
12,6927
2,6927
6,6927
6,6927
5,6927
14,6927
6,6927
14,6927
13,6927
16,6927
9,6927
20,6927
13,6927
14,6927
14,6927
10,6927
11,6927
11,10210
17,6927
17,6927
17,6927
2,6927
17,7690
16,6927
7,6927
16,6927
15,6927
7,6927
16,6927
15,7942
3,6927
15,7488
11,6927
3,6927
16,6927
6,6927
5,6927
10,6927
2,6927
15,6927
0,6927
12,6927
7,6927
13,6927
10,6927
17,6927
6,6927
20,6927
17,6927
13,6927
0,6927
18,6927
21,6927
10,6927
6,6927
14,6927
12,6927
15,6927
16,6927
10,6927
4,6927
13,6927
1,6927
1,6927
12,6927
16,6927
6,6927
3,6927
15,6927
16,6927
11,6927
15,6927
11,6927
12,6927
13,6927
6,6927
1,6927
16,6927
17,6927
5,6927
12,6927
14,6927
6,6927
15,6927
12,6990
8,6927
0,6927
14,6927
10,6927
7,6927
2,6927
0,6927
16,6927
14,6927
12,6927
17,6927
12,6927
0,6927
8,6927
14,6927
4,6927
15,6927
4,6927
5,6927
16,6927
18,6927
4,6927
16,6927
11,6927
13,6927
14,6927
3,6927
11,6927
13,6927
9,6927
11,7348
5,6927
11,6927
8,6927
15,6927
14,6927
10,6927
0,6927
3,6927
9,6927
8,6927
17,6927
10,6927
