hw(rs1),HW
22,208
23,189
3,73
25,122
19,165
18,154
24,125
1,70
17,208
22,184
20,214
5,63
25,209
20,201
7,177
9,174
2,54
15,106
24,170
28,252
0,16
26,186
23,209
11,151
22,167
10,162
18,193
20,210
10,188
2,95
13,149
1,44
11,177
10,167
24,168
28,222
23,184
10,180
21,203
10,160
7,130
25,119
10,152
8,169
17,173
16,173
6,157
23,215
15,155
23,192
12,199
18,161
0,16
21,132
13,107
2,77
10,180
13,145
25,234
3,52
22,124
8,131
7,141
24,211
26,206
17,106
5,99
22,225
7,160
11,157
6,112
5,116
0,14
16,183
23,200
12,177
22,169
13,168
18,195
2,83
20,213
8,156
10,178
1,37
1,25
4,143
2,92
12,171
25,222
22,206
14,202
6,140
13,200
15,146
23,176
6,73
10,96
20,192
11,119
18,179
2,40
9,154
3,79
9,174
23,216
10,172
5,150
28,147
13,133
12,170
22,181
11,171
24,179
24,177
21,146
10,142
25,205
25,218
7,143
7,143
10,189
5,124
8,126
20,212
22,177
15,185
22,212
13,172
4,112
17,204
1,48
13,166
22,215
16,161
8,150
23,164
6,71
23,176
4,111
24,186
19,206
5,147
9,139
25,197
21,190
7,155
10,158
13,181
0,14
19,197
22,128
25,197
19,184
17,182
16,136
9,176
10,118
4,139
8,139
22,201
3,106
21,122
18,197
9,143
24,218
21,199
25,238
16,185
26,231
11,155
3,79
19,183
1,37
18,209
11,157
10,177
8,82
24,199
21,201
20,157
6,145
22,158
16,194
23,220
22,204
12,98
14,174
25,170
20,217
23,192
14,149
26,151
24,201
2,58
20,191
22,191
8,186
13,158
17,197
10,159
19,187
27,233
19,200
24,181
25,203
5,95
14,183
22,197
16,112
12,188
22,213
21,156
25,189
5,81
2,89
3,104
8,165
20,199
23,177
27,240
22,178
9,168
24,211
17,176
3,93
25,130
19,181
5,65
19,195
10,158
12,172
25,232
22,200
1,48
22,215
7,161
6,156
8,134
23,212
25,199
19,216
18,116
16,206
7,160
25,220
7,148
0,14
18,157
3,87
18,187
9,188
6,69
9,151
7,125
1,37
3,73
21,170
25,206
24,124
18,164
26,184
22,171
27,228
4,101
4,110
14,183
10,173
19,177
7,112
14,196
12,178
0,18
17,207
4,103
3,51
24,208
15,159
25,211
21,201
2,94
10,197
8,189
24,180
1,59
6,154
24,167
25,198
1,48
13,187
21,180
16,189
4,125
12,135
25,222
17,168
5,132
21,220
11,191
14,155
1,48
27,244
0,16
4,143
5,128
3,119
0,14
15,142
18,196
26,227
17,197
23,200
20,215
25,201
10,183
17,209
2,79
0,16
23,201
5,153
21,177
15,169
3,115
11,131
8,138
10,191
15,189
22,199
2,78
15,196
23,199
24,219
23,204
14,180
16,114
14,184
21,192
7,160
16,193
8,185
22,205
21,183
18,173
14,185
26,210
25,216
5,145
9,191
18,196
0,16
22,205
22,200
5,148
0,16
16,201
11,201
24,229
19,186
7,125
17,146
16,187
11,179
3,70
26,233
25,208
22,168
14,171
5,130
10,191
24,217
17,158
7,172
20,202
6,104
0,14
20,167
0,16
12,129
24,203
9,167
20,200
14,176
1,59
1,48
13,173
17,197
20,107
18,202
12,179
17,173
23,184
4,120
21,199
24,207
14,156
2,56
24,130
22,198
25,234
21,193
20,193
2,86
4,114
2,78
12,172
21,210
21,204
26,219
19,187
19,210
20,113
1,59
22,165
3,95
25,226
2,94
1,44
